國別,西元年,民國年,類別,老化指數,資料說明,資料來源,
英國,2066,155,中推估,202.80,為年中數,Office for National Statistic網站,
英國,2067,156,中推估,205.20,為年中數,Office for National Statistic網站,
英國,2068,157,中推估,207.50,為年中數,Office for National Statistic網站,
英國,2069,158,中推估,209.80,為年中數,Office for National Statistic網站,
英國,2070,159,中推估,212.00,為年中數,Office for National Statistic網站,
德國,2025,114,中推估,158.00,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2026,115,中推估,159.80,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2027,116,中推估,162.20,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2028,117,中推估,165.00,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2029,118,中推估,168.30,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2030,119,中推估,171.70,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2031,120,中推估,175.60,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2032,121,中推估,179.30,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2033,122,中推估,182.90,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2034,123,中推估,186.00,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2035,124,中推估,188.50,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2036,125,中推估,191.00,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2037,126,中推估,192.10,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2038,127,中推估,193.10,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2039,128,中推估,194.00,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2040,129,中推估,194.60,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2041,130,中推估,195.40,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2042,131,中推估,196.10,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2043,132,中推估,196.80,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2044,133,中推估,197.30,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2045,134,中推估,197.90,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2046,135,中推估,198.40,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2047,136,中推估,198.70,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2048,137,中推估,198.60,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2049,138,中推估,198.40,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2050,139,中推估,198.20,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2051,140,中推估,198.10,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2052,141,中推估,198.20,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2053,142,中推估,198.50,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2054,143,中推估,198.70,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2055,144,中推估,199.10,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2056,145,中推估,198.90,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2057,146,中推估,198.70,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2058,147,中推估,198.60,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2059,148,中推估,198.60,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2060,149,中推估,198.70,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2061,150,中推估,199.30,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2062,151,中推估,200.30,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2063,152,中推估,201.30,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2064,153,中推估,202.40,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2065,154,中推估,203.70,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2066,155,中推估,204.80,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2067,156,中推估,205.90,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2068,157,中推估,206.90,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2069,158,中推估,208.00,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
德國,2070,159,中推估,209.10,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2025,114,中推估,131.90,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2026,115,中推估,135.20,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2027,116,中推估,138.40,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2028,117,中推估,141.80,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2029,118,中推估,145.10,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2030,119,中推估,148.00,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2031,120,中推估,150.50,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2032,121,中推估,152.40,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2033,122,中推估,154.10,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2034,123,中推估,155.70,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2035,124,中推估,157.00,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2036,125,中推估,158.50,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2037,126,中推估,160.50,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
法國,2038,127,中推估,162.10,官方發布之資料為年初數，為利與我國比較，以次年年初數，當作本年年底數呈現,EUROSTAT網站,
